Mac Os X
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
Logo,"",https://padlet-uploads.storage.googleapis.com/1220905413/ff22035eff0915b7ad21413d7d8d88c4/1e292500381db7819a5f04534d2152d5_logo_de_mac_os_by_vexels__1_.png,Anónimo,2021-06-22 00:35:57 UTC,2021-06-22 00:40:43 UTC
Multiusuario,"","",Anónimo,2021-06-22 00:37:52 UTC,2021-06-22 00:42:05 UTC
Multitarea,"","",Anónimo,2021-06-22 00:38:58 UTC,2021-06-22 00:39:00 UTC
Dispositivos,"Macbook (2015) 
Macbook Air (2012)
Macbook Pro (2012)
Mac mini (2012) 
iMac (2012)
iMac Pro (2017)
Mac Pro (2013)


","",Anónimo,2021-06-22 00:45:57 UTC,2021-06-22 00:47:21 UTC
""
Android
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
Logo,"",https://sites.google.com/site/informaticasistemasoperativos/_/rsrc/1385462188756/android/logo_principal.jpg,Anónimo,2021-06-22 00:44:37 UTC,2021-06-22 00:48:34 UTC
monousuario/multiusuario,"multiusuario en tablets.
","",Anónimo,2021-06-22 00:48:49 UTC,2021-06-22 00:49:58 UTC
multitarea,"","",Anónimo,2021-06-22 00:48:55 UTC,2021-06-22 00:48:57 UTC
Dispositivos,"Smartphones. Tablets
","",Anónimo,2021-06-22 00:49:13 UTC,2021-06-22 00:49:26 UTC
""
Windows 10
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
Logo,"",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Windows_logo_-_2012.svg/1200px-Windows_logo_-_2012.svg.png,Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-22 00:38:28 UTC
Multiusuario ,"","",Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-22 00:39:11 UTC
Multitarea ,"","",Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-22 00:39:22 UTC
Dispositivos,"PC
","",Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-22 00:41:20 UTC
""
GNU/Linux
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
Logo,"",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Gnulinux.svg/1200px-Gnulinux.svg.png,Anónimo,2021-06-22 00:48:43 UTC,2021-06-22 00:48:47 UTC
Según Usuario,"Multiusuario
","",Anónimo,2021-06-22 00:49:41 UTC,2021-06-22 00:49:51 UTC
Según Tarea,"Multitarea
","",Anónimo,2021-06-22 00:49:56 UTC,2021-06-22 00:50:04 UTC
""
Sistema Operativo
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
Logo,"","",Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-22 00:37:49 UTC
Según el usuario,"","",Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-21 21:16:55 UTC
Según la gestión de tareas,"","",Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-21 21:16:55 UTC
¿Qué dispositivos lo pueden utilizar?,"","",Digital House (PedagogiaDH),2021-06-21 21:16:55 UTC,2021-06-21 21:16:55 UTC
""
Chrome OS
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
logo,"",https://upload.wikimedia.org/wikipedia/en/e/e2/The_Chrome_OS_logo_as_of_2020.png,Anónimo,2021-06-22 00:43:16 UTC,2021-06-22 00:43:22 UTC
""
iOS
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
Logo,"",https://padlet-uploads.storage.googleapis.com/1220905413/151a174a147775cc9971283f225a8b7b/ios_logo1.png,Anónimo,2021-06-22 00:50:16 UTC,2021-06-22 00:50:26 UTC
Monousuario,"","",Anónimo,2021-06-22 00:51:32 UTC,2021-06-22 00:51:40 UTC
Multitarea,"","",Anónimo,2021-06-22 00:51:47 UTC,2021-06-22 00:51:50 UTC
Móviles,"","",Anónimo,2021-06-22 00:52:10 UTC,2021-06-22 00:52:14 UTC
monousuario,"","",Anónimo,2021-06-22 00:56:58 UTC,2021-06-22 00:57:01 UTC
multitarea,"","",Anónimo,2021-06-22 00:57:03 UTC,2021-06-22 00:57:05 UTC
dispositivo,"IPhone
","",Anónimo,2021-06-22 00:57:21 UTC,2021-06-22 00:57:28 UTC
""
Agreguen otro SO de su interes
Asunto,Cuerpo,Adjunto,Autor,Creación:,Actualización:
""
